fold,vol_qlike,vol_ql,vol_mape,vol_r2,vol_bias,vol_rmse,vol_n,clf_brier_score,clf_regime_accuracy,clf_regime_calibration,clf_tail_auc,clf_regime_acc_bull_quiet,clf_n_bull_quiet,clf_regime_acc_sideways_quiet,clf_n_sideways_quiet,clf_regime_acc_bull_volatile,clf_n_bull_volatile,clf_regime_acc_bear_quiet,clf_n_bear_quiet,clf_regime_acc_bear_volatile,clf_n_bear_volatile,clf_regime_acc_sideways_volatile,clf_n_sideways_volatile
0,-4.25857674066888,2.174310161988348,3.377212239745752,-987.8973631781303,0.08900844007072753,0.08905051226416712,63,0.09105931797685198,0.031746031746031744,0.22999104055226163,,0.0,21.0,0.0,40.0,,,,,,,,
1,-5.37184907874613,0.2986251495099159,0.49288524422540464,-0.075447962556767,-0.003532409267719768,0.01961026539551512,63,0.14676670012035123,0.9365079365079365,0.2021729312581503,0.5174825174825175,,,0.9365079365079365,63.0,,,,,,,,
2,-3.8396480456805215,0.2005427443078716,0.2866097401299271,-1.485001113036021,-0.015391168320617186,0.023641165984706728,63,0.3748668460693127,0.30158730158730157,0.10990679512174906,0.3418803418803419,,,0.6,5.0,0.0,4.0,0.2,5.0,0.5357142857142857,28.0,0.0,21.0
3,-6.05156881362564,0.07004220922210101,0.2450617532679059,-1.9863061087548277,0.0030705310053673694,0.008990442155648697,63,0.02437246829197291,0.36507936507936506,0.09551228555510677,,0.6875,32.0,0.037037037037037035,27.0,,,0.0,4.0,,,,
4,-5.3645171558856735,0.14262516121206703,0.2591048096589997,-0.92803608074261,-0.008442350883942058,0.012259749078403907,63,0.03523557825148417,0.6190476190476191,0.15645929069194212,,0.7916666666666666,48.0,0.06666666666666667,15.0,,,,,,,,
5,-4.570399751776033,0.25734095188446343,0.3510808115656008,-1.1198074345631182,-0.010106186365631242,0.020589605572753477,63,0.14103399715492962,0.4444444444444444,0.07374571878492041,0.39030612244897955,0.8148148148148148,27.0,0.21052631578947367,19.0,0.11764705882352941,17.0,,,,,,
6,-6.32737011505299,0.14078415459789448,0.4158089767834736,-1.0947038467044923,0.006426824170413982,0.009382866604842673,63,0.03995325781573874,0.2698412698412698,0.21763118723082162,,0.0,46.0,1.0,17.0,,,,,,,,
7,9.135279444587301,1.43268576356604,0.6065995800981032,-1.7547341293642051,-0.10461707631587149,0.12756277865429355,63,0.45851369598698116,0.8095238095238095,0.08406271423230556,0.9454545454545454,0.9545454545454546,22.0,,,0.1111111111111111,9.0,,,1.0,28.0,0.25,4.0
