regime,qlike,ql,mape,r2,bias,rmse,n
bull_quiet,-4.070204139070093,0.24644957879735516,0.3987086430027179,-0.05707056054279591,-0.004371626222746666,0.03513244274866947,1002
bull_volatile,0.7796390796177946,0.7224332113703393,0.4543448842732387,-0.5053157816444052,-0.0768998982355938,0.1136665550124041,148
bear_quiet,-3.7648496490998142,0.19297945215751383,0.29489620262277694,-0.04291834309411935,-0.010646817917010174,0.04247354364846559,332
bear_volatile,-0.9886607340629867,0.4082410195458462,0.35407033968000023,-0.3270628664758146,-0.06677601470475197,0.10235084490032202,326
sideways_quiet,-4.13518003917948,0.20277281383381074,0.33210630782577555,-0.018288380274282146,-0.004604306834838653,0.037032548916735526,1614
sideways_volatile,-0.4905548805698347,0.5238663639596111,0.3821236561909177,-0.28049269069630967,-0.06053737393173892,0.10372837171485182,104
