fold,vol_qlike,vol_ql,vol_mape,vol_r2,vol_bias,vol_rmse,vol_n,clf_brier_score,clf_regime_accuracy,clf_regime_calibration,clf_tail_auc,clf_regime_acc_bull_quiet,clf_n_bull_quiet,clf_regime_acc_bull_volatile,clf_n_bull_volatile,clf_regime_acc_bear_quiet,clf_n_bear_quiet,clf_regime_acc_sideways_quiet,clf_n_sideways_quiet,clf_regime_acc_bear_volatile,clf_n_bear_volatile,clf_regime_acc_sideways_volatile,clf_n_sideways_volatile
0,-5.172885898967982,0.13302253439751713,0.36377454115809577,-0.34895465569892714,0.007583429376688334,0.014669057918543572,441,0.024508857191761897,0.6689342403628118,0.16242140418345155,,0.0,79,0.0,8.0,0.0,57.0,1.0,295,,,,
1,-4.698611679620144,0.21776931229122792,0.3900301397908178,-0.09419699600011566,-0.003328433000759883,0.023115389977737582,441,0.1564829603593606,0.2789115646258503,0.1852711307461066,0.5553935860058309,0.6031746031746031,63,,,0.0,13.0,0.2328767123287671,365,,,,
2,-3.475599041908482,0.19330720618723413,0.3119598162793865,-0.9629204103727877,-0.02372374563758736,0.03102030246257688,441,0.3311171809137462,0.20408163265306123,0.08289971146001343,0.5486564696155436,0.13043478260869565,23,0.2647058823529412,34.0,0.20588235294117646,102.0,0.358974358974359,78,0.2116788321167883,137.0,0.0,67.0
3,-5.148048798443104,0.07797692766183427,0.2661966053471355,0.14166357074204916,0.007264568536000658,0.013115751300219303,440,0.029085964863022448,0.325,0.11820834497030415,0.9121004566210046,0.3269230769230769,104,,,0.49295774647887325,71.0,0.2792452830188679,265,,,,
4,-4.8334860850266494,0.12420516471686557,0.3047323519954609,-0.750565095172165,0.002039879135556592,0.016775503320890756,441,0.13323705757966933,0.4988662131519274,0.13206195798923084,,0.602803738317757,214,,,0.8888888888888888,36.0,0.30526315789473685,190,,,,
5,-4.435089244905056,0.12149980492539886,0.23981687946972224,-0.4877316601695152,-0.00945893815484908,0.018632843081983878,440,0.07639126042049524,0.41363636363636364,0.08115557658315854,0.41508688783570297,0.6907894736842105,152,0.40625,32.0,0.7058823529411765,34.0,0.18571428571428572,210,,,0.0,10.0
6,-5.362228473668553,0.17919295016934098,0.4526039647441431,-0.09547940419461431,0.008876241121956391,0.01536111007492258,441,0.047278211212003436,0.3832199546485261,0.22248070816018772,0.8936800526662279,0.0,272,,,,,1.0,169,,,,
7,5.30288147825706,1.0686162217325719,0.5197474420929676,-1.410927068219396,-0.11350404728676948,0.1450926955729153,441,0.34617805256187034,0.6326530612244898,0.07066449860534744,0.7840016366612111,0.7473684210526316,95,0.0547945205479452,73.0,0.47368421052631576,19.0,0.2619047619047619,42,0.983957219251337,187.0,0.0,25.0
