date,regime_name,n_symbols,w_AAPL,w_AMZN,w_AVGO,w_GOOGL,w_GS,w_IWM,w_JPM,w_META,w_MSFT,w_NVDA,w_QQQ,w_SPY,w_TSLA,w_XOM,ret_AAPL,ret_AMZN,ret_AVGO,ret_GOOGL,ret_GS,ret_IWM,ret_JPM,ret_META,ret_MSFT,ret_NVDA,ret_QQQ,ret_SPY,ret_TSLA,ret_XOM
2018-04-12,bull_volatile,7,,,,,0.29416505450315156,0.36168430807611057,0.3050704158056223,,0.23932814133978483,,0.3198528655070714,0.483253349041485,,0.36627187895442925,,,,,-0.014238560693005579,-0.005247639790119876,-0.027452876328964707,,-0.005357346898872131,,-0.005191998757222635,-0.0029374081489083083,,0.007996884186911054
2018-04-13,bull_volatile,7,,,,,0.29416505450315156,0.36168430807611057,0.3050704158056223,,0.23932814133978483,,0.3516151360449814,0.483253349041485,,0.32871337706152237,,,,,0.007629490890386553,0.009181483129448382,-0.000816325530917875,,0.011642281971902561,,0.007593399955935357,0.008188119499643706,,0.008952669975570067
2018-04-16,bull_quiet,7,,,,,0.29416505450315156,0.36168430807611057,0.3050704158056223,,0.23932814133978483,,0.38566964377736324,0.483253349041485,,0.35157955724249407,,,,,-0.016617848028584317,0.01081854472539818,0.0,,0.019975449167217673,,0.021296818714572834,0.010641624190932739,,-0.002677366051384567
2018-04-17,bull_quiet,7,,,,,0.29416505450315156,0.45222962620537593,0.3050704158056223,,0.23932814133978483,,0.3201036942746068,0.483253349041485,,0.35157955724249407,,,,,0.0014577356702650352,0.002670556543044476,-0.008108270128048756,,0.003843989383207745,,0.0020448454178481636,0.0007399911570353793,,0.01129811284748977
2018-04-18,bull_quiet,7,,,,,0.29416505450315156,0.41345750411005794,0.32864822670994054,,0.23932814133978483,,0.3201036942746068,0.483253349041485,,0.30236643324388346,,,,,0.0006690602589660642,-0.006945555399984083,0.02171639373514223,,-0.0034277034425115945,,-0.009235006035733514,-0.005562986896832211,,0.0025213950449728345
2018-04-19,bull_quiet,7,,,,,0.29416505450315156,0.44775504874518446,0.32864822670994054,,0.23932814133978483,,0.3201036942746068,0.483253349041485,,0.30236643324388346,,,,,-0.00873295587721499,-0.005385640582581518,-0.0022402446509384943,,-0.011616483585204227,,-0.015953399423657696,-0.008515567039637552,,-0.005302350180748887
2018-04-20,bull_quiet,7,,,,,0.29416505450315156,0.3278990499510761,0.30278707410111316,,0.23932814133978483,,0.3201036942746068,0.483253349041485,,0.30236643324388346,,,,,-0.021218967871069437,-0.0014796909436535683,-0.004856132850854093,,0.0036774244429620432,,-0.002529404840483587,-0.00014996071858595708,,0.0071892810871099925
2018-04-23,bull_quiet,7,,,,,0.32505527734770634,0.3278990499510761,0.30278707410111316,,0.23932814133978483,,0.2856335190469244,0.5413203321038891,,0.32983923049406566,,,,,-0.017090908462198642,-0.00574668021166226,-0.004698631882313283,,-0.02366530256529366,,-0.021414850576681143,-0.013558875321530377,,-0.0154511842272633
2018-04-24,bull_quiet,7,,,,,0.32505527734770634,0.3278990499510761,0.30278707410111316,,0.23932814133978483,,0.2856335190469244,0.5413203321038891,,0.32983923049406566,,,,,-0.013535080653748631,-0.001490430469151501,-0.003811309472338771,,-0.008736561924055938,,0.0011982416510561784,0.00246859804023608,,0.014571072333418011
2018-04-25,bull_quiet,7,,,,,0.32505527734770634,0.3594061858286611,0.30278707410111316,,0.23932814133978483,,0.25529789326981306,0.5413203321038891,,0.32983923049406566,,,,,0.003588423380724364,0.0045938854201878826,0.0009995967226244734,,0.02090449260460192,,0.02083415928493217,0.010114411105506966,,0.01696225010058941
