fold,vol_qlike,vol_ql,vol_mape,vol_r2,vol_bias,vol_rmse,vol_n,clf_brier_score,clf_regime_accuracy,clf_regime_calibration,clf_tail_auc,clf_regime_acc_bull_quiet,clf_n_bull_quiet,clf_regime_acc_bull_volatile,clf_n_bull_volatile,clf_regime_acc_bear_quiet,clf_n_bear_quiet,clf_regime_acc_sideways_quiet,clf_n_sideways_quiet,clf_regime_acc_bear_volatile,clf_n_bear_volatile,clf_regime_acc_sideways_volatile,clf_n_sideways_volatile
0,-5.1924713889773475,0.09493953163476715,0.2784337639165877,-0.01565172031447859,0.00011348488506753959,0.012728462631008769,441,0.007761783362477294,0.17913832199546487,0.16190484830671786,,1.0,79,0.0,8.0,0.0,57.0,0.0,295,,,,
1,-4.624498340953412,0.2004244406081824,0.33172882585314994,-0.08111671474332449,-0.006820306353203606,0.02297681125167263,441,0.11814854340453602,0.26303854875283444,0.13638914075751707,0.32830070803831735,0.5714285714285714,63,,,0.0,13.0,0.2191780821917808,365,,,,
2,-3.5464327845758064,0.1753769257627999,0.3003332340548605,-0.8776675721397729,-0.02264665115381601,0.030339193764555617,441,0.3480959408029897,0.24489795918367346,0.06972898376014651,0.5151302190988012,0.043478260869565216,23,0.08823529411764706,34.0,0.35294117647058826,102.0,0.32051282051282054,78,0.30656934306569344,137.0,0.014925373134328358,67.0
3,-5.149464470538648,0.07457039634279554,0.2613884721753792,0.1156026416993019,0.006859980455337392,0.013313373582991584,440,0.028652273443952766,0.2409090909090909,0.13432683335428894,0.9646118721461188,0.18269230769230768,104,,,0.08450704225352113,71.0,0.30566037735849055,265,,,,
4,-4.556866660713359,0.184745533679237,0.329380646198978,-1.3330861287716402,-0.0008290425801430649,0.01936652999186194,441,0.1021888878835884,0.47165532879818595,0.08658374945945428,,0.6121495327102804,214,,,0.8888888888888888,36.0,0.23684210526315788,190,,,,
5,-4.2395012834068835,0.17140123188925596,0.28695961521529767,-0.9317495784560292,-0.008077590814245411,0.021232065093056463,440,0.09341566134002487,0.3568181818181818,0.04529900847667092,0.30397577672459186,0.4342105263157895,152,0.28125,32.0,0.4117647058823529,34.0,0.319047619047619,210,,,0.0,10.0
6,-5.424011256440517,0.0994577638903883,0.28208480647558143,0.22891750605867434,0.001426492030888805,0.012887566357389165,441,0.038521463717484265,0.7188208616780045,0.0402713342710435,0.10072416063199471,0.9191176470588235,272,,,,,0.39644970414201186,169,,,,
7,8.570510311627887,1.4621622145734912,0.615520454812348,-1.970028387094958,-0.13184083754824288,0.16104001891170844,441,0.7711606154652192,0.6938775510204082,0.03741471472310249,0.3089198036006547,0.7052631578947368,95,0.3424657534246575,73.0,0.3684210526315789,19.0,0.40476190476190477,42,0.9946524064171123,187.0,0.16,25.0
