,iv_rank,hv_rank,vol_risk_premium,iv_momentum_short,iv_momentum_medium,hv_momentum_short,hv_momentum_medium,days_since_iv_year_high,days_since_iv_year_low,days_since_hv_year_high,days_since_hv_year_low,vix,spy_return,risk_free_rate
bull_quiet,,0.19125425815582275,,,,-0.0034130627755075693,,,,174.40711975097656,162.5182342529297,17.072233200073242,0.0010603453265503049,0.038433562964200974
bull_volatile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear_quiet,0.2423410415649414,0.1560807079076767,0.05651617795228958,-0.0008275445434264839,,-0.007617966737598181,,175.3772430419922,249.20359802246094,159.88023376464844,194.3712615966797,17.292938232421875,0.0007759175496175885,0.039158985018730164
bear_volatile,0.25506728887557983,0.2748204171657562,0.019349826499819756,-0.002485893666744232,-0.027882259339094162,-0.018235396593809128,-0.06512284278869629,157.37884521484375,265.7144470214844,118.02275085449219,187.87599182128906,18.015024185180664,0.0012934652622789145,0.04060880467295647
sideways_quiet,,0.20806610584259033,,,,-0.011518032290041447,,,,188.73770141601562,196.81967163085938,16.900461196899414,0.0009162253118120134,0.03819532319903374
sideways_volatile,0.2757110297679901,0.21723070740699768,0.04508619382977486,-0.0021242673974484205,0.0034317970275878906,-0.006461505778133869,-0.005899162031710148,166.27197265625,227.9456024169922,160.80752563476562,155.0669403076172,17.47511100769043,0.0009514021803624928,0.039413925260305405
