date,regime_name,n_symbols,w_AAPL,w_AMZN,w_AVGO,w_GOOGL,w_GS,w_IWM,w_JPM,w_META,w_MSFT,w_NVDA,w_QQQ,w_SPY,w_TSLA,w_XOM,ret_AAPL,ret_AMZN,ret_AVGO,ret_GOOGL,ret_GS,ret_IWM,ret_JPM,ret_META,ret_MSFT,ret_NVDA,ret_QQQ,ret_SPY,ret_TSLA,ret_XOM
2024-08-16,bull_volatile,14,0.546690092649776,0.4665300914226321,0.2871962409124593,0.46687948263576984,0.4546776987387271,0.5868636660707371,0.60878846036504,0.4510610719252873,0.5444891639636171,0.24314220163476388,0.5512096098777627,1.0419335275877724,0.2463638024998438,0.6676694402907075,-0.000708074823782384,0.006530104639669463,0.011936712800875597,0.022510985449947087,0.0008325231101895547,0.012155319489835005,0.006893025913391881,0.0035204850692158946,0.007285740701155826,0.042586355931760876,0.013050462986975863,0.009515993731818054,0.0300815962441386,0.003041832636889165
2024-08-19,bull_volatile,14,0.5180067531222026,0.4665300914226321,0.2871962409124593,0.46687948263576984,0.4850789154367494,0.49685946913618684,0.60878846036504,0.4510610719252873,0.5444891639636171,0.24314220163476388,0.5512096098777627,0.8019215031269631,0.2463638024998438,0.5993304936607902,0.0027409173903689796,0.0036964682293246748,-0.010549817599773413,0.003055233892656364,-0.014650661078842948,-0.011732096101437675,-0.004325855866171315,-0.004829601540154497,0.007727494801307544,-0.02138079502495033,-0.002100776098032989,-0.0016274080484896213,-0.007300267158314731,-0.03389279783171396
2024-08-20,bull_quiet,14,1.335167948446667,1.2164505442982605,0.706467162887406,1.1685840296403853,1.2852340879406028,1.4499235280148468,1.4980809014042102,1.1675115866812598,1.485797729410319,0.6042562425848137,1.3759505446075657,1.5,0.6306717649762481,1.5,-0.00048575043753077004,0.006852561474421805,-0.001024918976373083,-0.007987230266151082,-0.0017709903876558795,0.01293959062150509,0.0003728646068565766,0.015877671215853175,-0.001554817244064346,0.009775248904642465,0.004653276524834707,0.0034306271319162495,0.00976670507756732,-0.006391505853799193
2024-08-21,bull_quiet,14,1.5,1.2164505442982605,0.706467162887406,1.1886324844579912,1.2234027891030932,1.4171038422213462,1.3637278037287712,1.1675115866812598,1.485797729410319,0.5830824191072759,1.423502520887859,1.5,0.6306717649762481,1.5,-0.008293996262630655,-0.02234539227075752,-0.020968722025227697,-0.012437612144512496,0.0025950438638637423,-0.008857496426625904,0.009414993033115207,-0.00605382945542062,-0.020460709324281765,-0.037746331496295346,-0.015981943236513613,-0.007879458675625204,-0.05813634375381778,0.007699791963263177
2024-08-22,bull_quiet,14,1.3375183266701975,1.1857422875596861,0.6829587054899594,1.236032316528349,1.0340472562943637,1.3559910640601498,1.30855577801342,1.0533864143207068,1.3908566978946513,0.621737131376491,1.3256752273793306,1.5,0.6083073534368153,1.5,0.010235583894402078,0.005153271352930898,0.024461239768810514,0.011049788073562519,0.023174907065908624,0.03143553901592285,0.00772520817282435,-0.007415604261605045,0.002979603707190353,0.04449390534782619,0.010787126359409607,0.010569301785965204,0.044835591431516886,0.013763440091146837
2024-08-23,bull_quiet,14,1.4052061878815305,1.26055542091965,0.7997332427190442,1.3096509879703015,1.4073553544628628,1.3559910640601498,1.4379457292073976,1.1789121415477315,1.454838198463646,0.5906601563450703,1.4443166099609595,1.5,0.6587439813615856,1.5,0.0014977155617510516,-0.008736614913990125,-0.041358158685938534,0.0032552234839818587,-0.0030473503072423183,0.00031754674467299757,0.003931616195236286,-0.013115951548180975,-0.00794921157372719,-0.02275043279599763,-0.009755774152905513,-0.0023866838456129227,-0.032803441227522996,0.02118054675974695
2024-08-26,bull_quiet,14,1.4275112533624434,1.1489380999011474,0.6310253695177325,1.2464063695276848,1.2410481225873535,1.3205673588578881,1.5,1.1042085067050817,1.454838198463646,0.5906601563450703,1.4215299997629234,1.5,0.6587439813615856,1.5,0.003734571329243349,-0.013654075452589952,0.011027832408256036,-0.008947049181270423,-0.0012017877947552164,-0.007787062940801398,0.004597684338437112,-0.003883836356419139,0.0008461100892681507,0.01444525001689217,0.0029829103487910213,0.0013721560454702131,-0.018939062709292416,-0.009556479034917712
2024-08-27,bull_quiet,14,1.492840399488464,1.2018990074096993,0.6310253695177325,1.3272818133730429,1.3190003473069318,1.5,1.4493086782069233,1.1290346733135685,1.4792153086922772,0.5662409146508354,1.5,1.5,0.6257281074866459,1.5,-0.00677637580128301,-0.013491668231426824,-0.020090213477682955,-0.011174583224629822,-0.007777719983636755,-0.006789067298056197,0.005028667790527323,-0.004479187081332094,-0.007859897396461705,-0.021189421849437947,-0.011412309306653363,-0.005822190304537772,-0.01667672472989858,-0.009906175605151401
2024-08-28,bull_quiet,14,1.2492454573847256,1.1157695529209697,0.6310253695177325,1.2362412715742628,1.0894870845750895,1.4015283895129358,1.4884501769545164,1.0417169457897044,1.4177462670390815,0.700784075652991,1.2544156667928552,1.5,0.647952765557849,1.5,0.014465001057921761,0.007698580379841969,-0.007933779409461177,-0.0065921891572580165,0.013360804969632318,0.007108994463127709,0.004148882739274356,0.0027824972662549704,0.006118576389218072,-0.0659779068659719,-0.0014649580315590183,8.953171475672746e-05,0.0025726237078790366,0.013722786428625714
2024-08-29,bull_quiet,14,1.3577994793409833,1.239717927562843,0.6881680286436243,1.113198773716831,1.1115292880858163,1.4015283895129358,1.3654459391610325,1.1836106464377758,1.496433110104156,0.581153133152111,1.463622491571054,1.5,0.647952765557849,1.5,-0.003443815595201171,0.036396721617948,0.03684554175061883,0.009841425755599162,0.0002940047957417517,0.00578736275136335,0.01158822068759987,0.005945063732474557,0.00968383614592487,0.015023969423637647,0.011848924482765201,0.009500739432925398,0.03725544123667223,-0.0016096484371573988
