,iv_rank,hv_rank,vol_risk_premium,iv_momentum_short,iv_momentum_medium,hv_momentum_short,hv_momentum_medium,days_since_iv_year_high,days_since_iv_year_low,days_since_hv_year_high,days_since_hv_year_low,vix,spy_return,risk_free_rate,spy_pct_from_ma200,spy_adx14,spy_atr_ratio
bull_quiet,,0.19374266266822815,,,,2.1111054593347944e-05,,,,202.87037658691406,156.2657470703125,16.884122848510742,0.0007434024591930211,0.03760422766208649,0.0916535034775734,0.1735205054283142,0.9427629113197327
bull_volatile,0.23212598264217377,0.20325836539268494,0.05682334303855896,0.008564446121454239,0.007265555206686258,-0.011005552485585213,-0.061100006103515625,120.33333587646484,287.6222229003906,99.97777557373047,202.4888916015625,17.59688949584961,0.0018808393506333232,0.04078388214111328,0.07674627006053925,0.21998406946659088,0.8642207384109497
bear_quiet,0.23463526368141174,0.20692069828510284,0.030361570417881012,-0.0082203708589077,-0.02141019143164158,-0.01459722314029932,-0.020530087873339653,150.4768524169922,213.82870483398438,144.01388549804688,167.5370330810547,17.347551345825195,0.0012030230136588216,0.03969109430909157,0.08564767241477966,0.21813099086284637,0.9336531162261963
bear_volatile,0.2548176348209381,0.26732978224754333,0.020488018169999123,-0.0030341758392751217,-0.025088587775826454,-0.01798011176288128,-0.061689648777246475,162.55494689941406,254.03956604003906,126.4912109375,181.45054626464844,17.889440536499023,0.0013231857446953654,0.04047577083110809,0.0741254985332489,0.21757598221302032,0.904887855052948
sideways_quiet,0.22271296381950378,0.18654116988182068,0.030920758843421936,-0.0025113194715231657,,-0.010671158321201801,,131.20484924316406,288.1401672363281,110.39083862304688,201.3477020263672,17.75914764404297,0.0011406547855585814,0.04037671536207199,0.07494755834341049,0.22157534956932068,0.8991389274597168
sideways_volatile,0.2157142013311386,0.27074161171913147,-0.011609751731157303,-0.007139024790376425,-0.035919513553380966,-0.03020000085234642,-0.014017073437571526,146.60975646972656,304.68292236328125,128.9268341064453,275.56097412109375,17.509511947631836,0.00264245574362576,0.03947122395038605,0.08054161071777344,0.21381083130836487,0.992847740650177
