regime,qlike,ql,mape,r2,bias,rmse,n
bull_quiet,-4.192062359898889,0.2222683819775583,0.3351850156832935,-0.019140387544369197,-0.007198400712985412,0.034496367397640226,1002
bull_volatile,2.0798395054230214,0.8481128823716105,0.4977058050802412,-0.6678936318004753,-0.08105816031633116,0.11964734487914265,148
bear_quiet,-3.8003334422903663,0.20837915022328518,0.3426076938378541,-0.051897879999037055,-0.007270361739289294,0.04265600055972161,332
bear_volatile,0.5533397463670636,0.6554245170253516,0.45345600162092503,-0.7337000690262392,-0.08064891742193411,0.11698567003203682,326
sideways_quiet,-4.108131334837619,0.21221987231496345,0.34744162828915637,-0.0650673164798583,-0.0039032635313768567,0.03787361325151431,1614
sideways_volatile,0.1082518900868897,0.5635229063666044,0.38811896453959827,-0.35563773578013147,-0.06097606770739791,0.10672860509880781,104
