fold,vol_qlike,vol_ql,vol_mape,vol_r2,vol_bias,vol_rmse,vol_n,clf_brier_score,clf_regime_accuracy,clf_regime_calibration,clf_tail_auc,clf_regime_acc_bull_quiet,clf_n_bull_quiet,clf_regime_acc_bull_volatile,clf_n_bull_volatile,clf_regime_acc_bear_quiet,clf_n_bear_quiet,clf_regime_acc_sideways_quiet,clf_n_sideways_quiet,clf_regime_acc_bear_volatile,clf_n_bear_volatile,clf_regime_acc_sideways_volatile,clf_n_sideways_volatile
0,-5.140187355932547,0.15610657961818702,0.4358519658219285,-1.2211976608986599,0.01519121589180272,0.018823360134045015,441,0.025122502406522848,0.17913832199546487,0.16627135691504,,1.0,79,0.0,8.0,0.0,57.0,0.0,295,,,,
1,-4.573328603651591,0.22349791345424178,0.3651516217805441,-0.19668567048191177,-0.00686694329930483,0.02417372131393446,441,0.11982546292781182,0.2766439909297052,0.1420407944486477,0.4532486463973344,0.6031746031746031,63,,,0.0,13.0,0.23013698630136986,365,,,,
2,-3.4718016566932994,0.20238621424993103,0.3288938949735575,-1.0800587841058187,-0.02178957929999752,0.03193246809929493,441,0.368736771721656,0.19047619047619047,0.1136797195871327,0.4647374948325755,0.043478260869565216,23,0.29411764705882354,34.0,0.22549019607843138,102.0,0.34615384615384615,78,0.1386861313868613,137.0,0.05970149253731343,67.0
3,-5.141902312180351,0.0810860848383766,0.27619157058669297,0.09486348331078887,0.006734357582462089,0.01346856863138183,440,0.0317871781990567,0.22272727272727272,0.14187061202052673,0.978310502283105,0.4807692307692308,104,,,0.19718309859154928,71.0,0.12830188679245283,265,,,,
4,-4.833083569717854,0.10251887875880579,0.2570182557244288,-0.39219303435082487,0.0009043800065688265,0.014960157134960586,441,0.07654424414263256,0.3968253968253968,0.08666371579861615,,0.43457943925233644,214,,,0.8333333333333334,36.0,0.2736842105263158,190,,,,
5,-4.059583413680821,0.21982137236118432,0.32388914671397406,-1.4832083345136082,-0.011060666044251738,0.02407262233980489,440,0.12873336758634724,0.5045454545454545,0.035710611112923,0.361506055818852,0.5986842105263158,152,0.1875,32.0,0.29411764705882354,34.0,0.5476190476190477,210,,,0.0,10.0
6,-5.437963135980817,0.11292674628503764,0.32274737593830977,0.2884137565513568,0.004281649487691776,0.012380388255053217,441,0.027936663544556737,0.6031746031746031,0.06537645563507612,0.6030283080974326,0.9779411764705882,272,,,,,0.0,169,,,,
7,6.3485088983462115,1.2429579324128857,0.5764772497241518,-1.7297918874781222,-0.12471962318641437,0.15438968536197803,441,0.5258178215370901,0.7301587301587301,0.03336521286706987,0.5942716857610474,0.8736842105263158,95,0.410958904109589,73.0,0.7894736842105263,19.0,0.21428571428571427,42,0.9732620320855615,187.0,0.12,25.0
