fold,vol_qlike,vol_ql,vol_mape,vol_r2,vol_bias,vol_rmse,vol_n,clf_brier_score,clf_regime_accuracy,clf_regime_calibration,clf_tail_auc,clf_regime_acc_bull_quiet,clf_n_bull_quiet,clf_regime_acc_bull_volatile,clf_n_bull_volatile,clf_regime_acc_bear_quiet,clf_n_bear_quiet,clf_regime_acc_sideways_quiet,clf_n_sideways_quiet,clf_regime_acc_bear_volatile,clf_n_bear_volatile,clf_regime_acc_sideways_volatile,clf_n_sideways_volatile
10,-2.8433082481849907,0.30417989869652484,0.38784923555257755,-0.29523474924093684,-0.014648091377470838,0.05207279578667691,567,0.2819900517331005,0.10229276895943562,0.16959517206143246,0.4053896746405914,0.0,180,0.3472222222222222,72.0,0.0,6.0,0.006289308176100629,159.0,0.625,8.0,0.19014084507042253,142.0
11,-3.7767067976947186,0.13555693461896517,0.2722946951710589,0.1510631684395385,-0.004875310943251046,0.04215620642805398,567,0.14502696770533902,0.20987654320987653,0.19020043644296916,0.7323153409090909,0.07958477508650519,289,0.6666666666666666,111.0,,,0.09219858156028368,141.0,,,0.34615384615384615,26.0
12,-4.594537930955905,0.07610052190879114,0.2472430465712001,0.5304875846607962,0.005977392370125454,0.01676274438180447,565,0.07974256461825031,0.13628318584070798,0.1779215406983604,,0.2314410480349345,229,1.0,5.0,,,0.055384615384615386,325.0,,,0.25,4.0
13,-4.710061405153671,0.047847374183266414,0.18594398462497078,0.6217412800717768,-0.0007121080343611521,0.016293277169616666,564,0.048970478503920986,0.36347517730496454,0.12566829827957046,,0.3598130841121495,214,0.45454545454545453,22.0,,,0.367601246105919,321.0,,,0.0,7.0
14,-3.8086270000573474,0.12592637307995663,0.2650371271079727,0.5433959599139635,-0.016084900439772735,0.03001521308329865,565,0.09799577684134975,0.5646017699115045,0.03708523152500355,0.5189096617668046,0.6505376344086021,186,0.7339449541284404,109.0,,,0.5358851674641149,209.0,0.0,11.0,0.125,48.0
15,-3.2143162826752176,0.17293853107136442,0.29714215760625345,-0.017580614475457335,-0.01592119403902579,0.036687580937436334,567,0.34080805226312644,0.2998236331569665,0.10924951762444528,0.4510228166797796,0.0821917808219178,73,0.611764705882353,85.0,0.14754098360655737,61.0,0.16521739130434782,115.0,0.3146853146853147,143.0,0.43333333333333335,90.0
16,-3.3244492419990657,0.05977797445863921,0.1747953098892196,0.4375205707580623,-0.010729623216436984,0.03113760888206369,623,0.24097353501082308,0.4767255216693419,0.07608234249713142,0.40849644226719567,0.0,13,0.0,36.0,0.02702702702702703,37.0,0.043478260869565216,46.0,0.9514563106796117,309.0,0.0,182.0
17,-3.385366656368743,0.07786209699476206,0.1876998504837321,0.12359320583112376,-0.014935947099734479,0.03919188699003484,756,0.20522259113809474,0.24603174603174602,0.14579114243726696,0.6396405991305442,0.0625,32,,,0.04597701149425287,87.0,0.011320754716981131,265.0,0.2777777777777778,198.0,0.7093023255813954,172.0
18,-3.4327070959022796,0.10135956341830198,0.20833613519434457,0.33025292625912006,-0.019334947285440784,0.04572722243527651,756,0.19405939241736592,0.24735449735449735,0.16520849641887417,0.7836923277152339,0.2755102040816326,98,0.5,34.0,0.058394160583941604,137.0,0.056782334384858045,317.0,0.7073170731707317,123.0,0.6382978723404256,47.0
19,-3.854619616395916,0.08823675947579196,0.21849883857918034,0.3898015770880474,-0.0134885280160525,0.030696929532898154,756,0.09408942817823836,0.25132275132275134,0.15319007186720932,0.27065662257547896,0.3972602739726027,219,0.6521739130434783,23.0,0.045454545454545456,88.0,0.18781725888324874,394.0,0.2222222222222222,9.0,0.34782608695652173,23.0
20,-4.301326783709736,0.07722813048751824,0.2023683143671739,0.6298892618943123,-0.009786069643707544,0.017495428873338856,756,0.06370701090793564,0.4060846560846561,0.18387139741515304,,0.4266666666666667,450,,,0.0,20.0,0.4020979020979021,286.0,,,,
21,-4.310191948016058,0.07443995972591293,0.19943305932363012,0.49765594291149984,-0.00988116187985959,0.02191225964810106,756,0.013550893191906551,0.4576719576719577,0.06521242157156505,,0.49157303370786515,356,1.0,3.0,0.043478260869565216,46.0,0.4742857142857143,350.0,,,,
22,-4.535432072104451,0.067913572501101,0.1994889249192507,0.5303744743288077,-0.0033339495676545975,0.021576267093904193,755,0.010012622680649709,0.6370860927152318,0.04282027509825173,,0.7774798927613941,373,,,0.7875,80.0,0.42333333333333334,300.0,,,,
23,-4.328089847161209,0.06566059649876747,0.18608520387700106,0.6468634243885021,-0.009219012377492935,0.023391769033950995,756,0.009726314918472341,0.7261904761904762,0.060579607428411286,0.967684816290394,0.6918367346938775,490,0.6,10.0,0.9466666666666667,75.0,0.7430167597765364,179.0,,,,
24,-4.151096076561039,0.10348729888976799,0.25729835343636454,0.6242204840938339,-0.006331326195109231,0.02849605187650079,789,0.05765212698987371,0.541191381495564,0.10496005560562499,0.39084177376798024,0.5799457994579946,369,0.3333333333333333,30.0,1.0,11.0,0.5079365079365079,378.0,,,,
25,-3.98361871223368,0.10384731649994049,0.292287906076628,0.5669053328107065,0.002529213369035777,0.031586831995164835,881,0.08744501349818794,0.3473325766174801,0.13841872733256397,0.49132172067178626,0.04693140794223827,277,0.3937007874015748,127.0,0.0,6.0,0.5334872979214781,433.0,0.0,8.0,0.4,30.0
26,-3.820195517236452,0.11708606213561802,0.26352120968384474,0.44707090086308576,-0.008104769663609344,0.04305570770503979,881,0.07034298382301961,0.3938706015891033,0.13141696859269644,0.711998929008568,0.5024271844660194,412,0.47368421052631576,57.0,0.8333333333333334,24.0,0.2421875,384.0,,,0.0,3.0
27,-2.3315201338560128,0.25311467183225217,0.3135393587590696,0.06823353768488616,-0.03784417147386411,0.06081022788973806,881,0.30830307640270316,0.49716231555051077,0.057592426613350005,0.5565030919609016,0.4147727272727273,176,0.2857142857142857,56.0,0.35135135135135137,148.0,0.5669291338582677,254.0,0.6770833333333334,192.0,0.41818181818181815,55.0
