fold,vol_qlike,vol_ql,vol_mape,vol_r2,vol_bias,vol_rmse,vol_n,clf_brier_score,clf_regime_accuracy,clf_regime_calibration,clf_tail_auc,clf_regime_acc_bull_quiet,clf_n_bull_quiet,clf_regime_acc_bull_volatile,clf_n_bull_volatile,clf_regime_acc_bear_quiet,clf_n_bear_quiet,clf_regime_acc_sideways_quiet,clf_n_sideways_quiet,clf_regime_acc_bear_volatile,clf_n_bear_volatile,clf_regime_acc_sideways_volatile,clf_n_sideways_volatile
0,-5.2132492226311316,0.10156741843983683,0.3185163699949304,-0.04707619389646611,0.008279779610748536,0.012923873262629598,441,0.019710437342935396,0.37188208616780044,0.13343176755769767,,0.8734177215189873,79,0.0,8.0,0.38596491228070173,57.0,0.24745762711864408,295.0,,,,
1,-4.794163996120842,0.22929198787706992,0.42901414579783004,-0.08528297604530866,-0.0014308747000794102,0.023021041143879373,441,0.13209531704434416,0.21541950113378686,0.1610260161462673,0.6226572261557685,0.49206349206349204,63,,,0.46153846153846156,13.0,0.1589041095890411,365.0,,,,
2,-3.5254666438361744,0.18428278287287964,0.31233607851959944,-0.8798310744317472,-0.02192411050634936,0.03035666757604018,441,0.3346830968689835,0.19047619047619047,0.12080621021764922,0.5607895824720959,0.0,23,0.47058823529411764,34.0,0.23529411764705882,102.0,0.3333333333333333,78.0,0.0948905109489051,137.0,0.07462686567164178,67.0
3,-5.115649844139433,0.10528501144573593,0.32331918959738704,-0.3864050784262585,0.009908022566878266,0.016668997088505638,440,0.041797040611380884,0.14772727272727273,0.1609456831134263,0.9737442922374429,0.4326923076923077,104,,,0.18309859154929578,71.0,0.026415094339622643,265.0,,,,
4,-4.822606180172671,0.10354719907738473,0.2544645102519463,-0.4666077528799437,-0.0016297179254610627,0.01535477352388351,441,0.09645099894836129,0.5170068027210885,0.11149944050675564,,0.5327102803738317,214,,,0.8888888888888888,36.0,0.43157894736842106,190.0,,,,
5,-4.330775539839489,0.15305372781204019,0.2679450751771742,-0.7993496725661144,-0.010243718808218503,0.020491540488486126,440,0.09705458793100079,0.32045454545454544,0.06731490788200918,0.2411795681937862,0.4276315789473684,152,0.0,32.0,0.7058823529411765,34.0,0.24761904761904763,210.0,,,0.0,10.0
6,-5.419670062573151,0.10588100719725765,0.30179200152908725,0.1660095436301412,0.002986193474547756,0.013402969621009224,441,0.020424313525812265,0.6825396825396826,0.06514601895926944,0.14154048716260698,0.8566176470588235,272,,,,,0.40236686390532544,169.0,,,,
7,7.962813514800486,1.4067200095535666,0.5996258652676686,-1.9146616667582106,-0.13032787935798598,0.15953191827743535,441,0.5116498805628966,0.7528344671201814,0.02070605382446805,0.537847790507365,0.8421052631578947,95,0.4383561643835616,73.0,0.8947368421052632,19.0,0.5,42.0,0.9518716577540107,187.0,0.16,25.0
8,-3.5182644572972235,0.11727841368289628,0.3183340886788431,0.31305043121617115,0.003047726068990435,0.032499858892061514,440,0.24543713142192788,0.1590909090909091,0.12549445408795057,0.6881144063411908,0.0,5,0.0,107.0,,,,,1.0,68.0,0.007751937984496124,258.0
9,-3.142005695275682,0.1994080253987353,0.32387607806682506,-0.3203219908306918,-0.0014225541266314795,0.04648546094831379,504,0.3418407622794687,0.30753968253968256,0.07712414346767539,0.6609611586570112,0.0,72,0.5472972972972973,148.0,,,0.24786324786324787,117.0,0.7419354838709677,31.0,0.16176470588235295,136.0
