,iv_rank,hv_rank,vol_risk_premium,iv_momentum_short,iv_momentum_medium,hv_momentum_short,hv_momentum_medium,days_since_iv_year_high,days_since_iv_year_low,days_since_hv_year_high,days_since_hv_year_low,vix,spy_return,risk_free_rate
bull_quiet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bull_volatile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear_quiet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear_volatile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sideways_quiet,,0.22001783549785614,,,,-0.009482938796281815,,,,155.3002166748047,175.1466064453125,17.41193199157715,0.0010958741186186671,0.03924935311079025
sideways_volatile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
