fold,vol_qlike,vol_ql,vol_mape,vol_r2,vol_bias,vol_rmse,vol_n,clf_brier_score,clf_regime_accuracy,clf_regime_calibration,clf_tail_auc,clf_regime_acc_bull_quiet,clf_n_bull_quiet,clf_regime_acc_bull_volatile,clf_n_bull_volatile,clf_regime_acc_bear_quiet,clf_n_bear_quiet,clf_regime_acc_sideways_quiet,clf_n_sideways_quiet,clf_regime_acc_bear_volatile,clf_n_bear_volatile,clf_regime_acc_sideways_volatile,clf_n_sideways_volatile
10,-2.9329308900350215,0.28208472301989546,0.35849126340728266,-0.2527740313472189,-0.018611501845877395,0.05121215167169793,567,0.18989131281687344,0.13580246913580246,0.1653924869187508,0.44493917699784646,0.08888888888888889,180,0.6388888888888888,72.0,0.0,6.0,0.03773584905660377,159.0,0.125,8.0,0.056338028169014086,142.0
11,-3.7833282393553707,0.1679968444910443,0.33373834764935795,0.1988595302753855,-0.0021652714399140235,0.04095228790955396,567,0.17431198596627712,0.2716049382716049,0.17536573734761976,0.7713068181818181,0.22145328719723184,289,0.6846846846846847,111.0,,,0.06382978723404255,141.0,,,0.19230769230769232,26.0
12,-4.593265842668402,0.08032819710223746,0.25766440852743094,-0.21150271813278243,0.00791028337749781,0.026926740096374635,565,0.07861203769454314,0.19823008849557522,0.1860505859773286,,0.34497816593886466,229,0.8,5.0,,,0.08923076923076922,325.0,,,0.0,4.0
13,-4.620983719765518,0.0910193412116133,0.25475623663460745,0.3751889873864971,0.003611019840988678,0.02094056084210199,564,0.051381205021892744,0.4237588652482269,0.13977999334825003,,0.5981308411214953,214,0.5,22.0,,,0.3052959501557632,321.0,,,0.2857142857142857,7.0
14,-3.568774160925737,0.1756913643188545,0.29337158983999584,0.18774599390834645,-0.022150350270343806,0.040032940114904575,565,0.09377869747427411,0.415929203539823,0.03469475569453229,0.6005423148280291,0.8602150537634409,186,0.43119266055045874,109.0,,,0.1339712918660287,209.0,0.0,11.0,0.0,48.0
15,-3.348541542939448,0.14119438504267703,0.2763503100311066,-0.20337446139819826,-0.00992161628665752,0.039896524023524095,567,0.3001421407368397,0.19047619047619047,0.13303142049145691,0.4801186225261756,0.0,73,0.2823529411764706,85.0,0.0,61.0,0.008695652173913044,115.0,0.14685314685314685,143.0,0.6888888888888889,90.0
16,-3.363493924530817,0.05051363752368458,0.17600161603974956,0.5735890663845913,-0.0065913938064336925,0.02711103533452678,623,0.2400493048733164,0.3001605136436597,0.12633976043107806,0.380921242213996,0.0,13,0.0,36.0,0.08108108108108109,37.0,0.06521739130434782,46.0,0.0,309.0,0.9945054945054945,182.0
17,-3.3468966821326256,0.09638244792500247,0.2130883386402829,-0.06528791288293045,-0.016860507181946503,0.04320925774664471,756,0.24454631281453998,0.26851851851851855,0.10576086183872346,0.4795852173155311,0.0,32,,,0.20689655172413793,87.0,0.026415094339622643,265.0,0.5050505050505051,198.0,0.45348837209302323,172.0
18,-3.549766233649538,0.07151971047716829,0.18637033946514067,0.4767667266492954,-0.014441428464373723,0.040417280345732345,756,0.1707759854656273,0.18783068783068782,0.12915663636204125,0.7003058501984772,0.23469387755102042,98,0.0,34.0,0.0,137.0,0.0,317.0,0.959349593495935,123.0,0.02127659574468085,47.0
19,-3.821880675713922,0.09400352026257316,0.2159444650024194,0.5941505624482549,-0.011634920926098514,0.02503467000089395,756,0.09268370440103842,0.38756613756613756,0.15034690005556936,0.322972892816893,0.0,219,0.0,23.0,0.0,88.0,0.7233502538071066,394.0,0.8888888888888888,9.0,0.0,23.0
20,-4.433121051145133,0.036952847772946565,0.15852388323421898,0.7411866368901482,-0.0009718409667897966,0.01463026182247831,756,0.011620363466318616,0.4576719576719577,0.11232958912881609,,0.7488888888888889,450,,,0.0,20.0,0.03146853146853147,286.0,,,,
21,-4.286521599379109,0.08008294525621243,0.19464031121736267,0.4134428724694119,-0.011729743082994489,0.023677818613583933,756,0.0006807811482416099,0.5277777777777778,0.0682454426634274,,0.4887640449438202,356,1.0,3.0,0.0,46.0,0.6342857142857142,350.0,,,,
22,-4.557380814460144,0.07018785727402506,0.2279505248189263,0.5598668998194358,0.0015409268381097526,0.020887789298554282,755,0.0034662628719545337,0.6132450331125828,0.06863585766416823,,0.7774798927613941,373,,,0.7625,80.0,0.37,300.0,,,,
23,-4.330247883496361,0.0677802569682063,0.1962770886155902,0.6256946335231248,-0.007238454081029455,0.02408267602708055,756,0.018483179547739693,0.7632275132275133,0.06618178987294888,0.7197875166002655,0.8285714285714286,490,0.6,10.0,0.9733333333333334,75.0,0.5139664804469274,179.0,,,,
24,-4.134862023626218,0.11512034518105355,0.28231815849803465,0.5523842378532606,-0.006672733679457205,0.031100747478569578,789,0.08312679530345476,0.5716096324461344,0.11704782598057456,0.3486254149289301,0.5609756097560976,369,0.43333333333333335,30.0,0.8181818181818182,11.0,0.5873015873015873,378.0,,,,
25,-3.984224841825291,0.0911672081434301,0.2518638374913061,0.6304763523970895,-0.002318232176578634,0.029176673166476215,881,0.0800134893225599,0.38819523269012485,0.1347482827984456,0.4722794530811013,0.10469314079422383,277,0.6141732283464567,127.0,0.16666666666666666,6.0,0.5173210161662818,433.0,0.0,8.0,0.3333333333333333,30.0
26,-3.7938860826448138,0.12257989151418906,0.2618448848058349,0.41600190091667877,-0.009490718831388,0.04424882326288843,881,0.0658920644684434,0.3496027241770715,0.16271604113967045,0.7795287637698898,0.3325242718446602,412,0.5964912280701754,57.0,0.9166666666666666,24.0,0.296875,384.0,,,0.3333333333333333,3.0
27,-2.011556283873863,0.31622617183248963,0.3534958773365222,-0.1434229285200197,-0.039524452580223836,0.06736379445221835,881,0.3503604274453105,0.4960272417707151,0.07541983198033332,0.5057240064720615,0.4943181818181818,176,0.6071428571428571,56.0,0.2972972972972973,148.0,0.49606299212598426,254.0,0.6041666666666666,192.0,0.5454545454545454,55.0
